MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,AZ,0,100,100,95.06,84.76,32.81,11/17/2020,11/23/2020,1
20201110,AZ,0,100,100,95.06,84.76,19.5,11/10/2020,11/16/2020,1
20201103,AZ,0,100,100,95.01,83.85,8.7,11/3/2020,11/9/2020,1
20201027,AZ,0,100,100,95.01,83.85,8.7,10/27/2020,11/2/2020,1
20201020,AZ,0,100,100,95.01,83.85,8.7,10/20/2020,10/26/2020,1
20201013,AZ,0,100,100,95.01,77.73,6.86,10/13/2020,10/19/2020,1
20201006,AZ,0,100,100,95.01,77.73,6.86,10/6/2020,10/12/2020,1
20200929,AZ,0,100,100,93.97,69.95,3.37,9/29/2020,10/5/2020,1
20200922,AZ,0,100,100,90.67,57.34,0,9/22/2020,9/28/2020,1
20200915,AZ,0,100,100,90.67,57.34,0,9/15/2020,9/21/2020,1
20200908,AZ,0,100,97.46,89.42,56.45,0,9/8/2020,9/14/2020,1
20200901,AZ,0,100,97.45,82.16,42.25,0,9/1/2020,9/7/2020,1
20200825,AZ,0,100,97.45,82.36,42.25,0,8/25/2020,8/31/2020,1
20200818,AZ,0,100,90.19,74.64,0.68,0,8/18/2020,8/24/2020,1
20200811,AZ,6.42,93.58,81.73,26.42,0,0,8/11/2020,8/17/2020,1
20200804,AZ,6.42,93.58,81.68,25.76,0,0,8/4/2020,8/10/2020,1
20200728,AZ,14.3,85.7,46.89,15.99,0,0,7/28/2020,8/3/2020,1
20200721,AZ,14.3,85.7,36.39,6.79,0,0,7/21/2020,7/27/2020,1
20200714,AZ,54.75,45.25,13.68,6.76,0,0,7/14/2020,7/20/2020,1
20200707,AZ,57.44,42.56,13.56,6.76,0,0,7/7/2020,7/13/2020,1
20200630,AZ,67.45,32.55,13.56,6.76,0,0,6/30/2020,7/6/2020,1
20200623,AZ,67.45,32.55,13.56,6.76,0,0,6/23/2020,6/29/2020,1
20200616,AZ,67.45,32.55,13.56,6.76,0,0,6/16/2020,6/22/2020,1
20200609,AZ,67.45,32.55,13.56,6.76,0,0,6/9/2020,6/15/2020,1
