MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,CA,15.61,84.39,70.91,41.25,15.83,0,11/17/2020,11/23/2020,1
20201110,CA,15.48,84.52,70.91,41.25,15.83,0,11/10/2020,11/16/2020,1
20201103,CA,15.48,84.52,67.54,35.61,12.74,0,11/3/2020,11/9/2020,1
20201027,CA,15.4,84.6,67.54,35.61,12.74,0,10/27/2020,11/2/2020,1
20201020,CA,15.4,84.6,67.54,35.61,12.74,0,10/20/2020,10/26/2020,1
20201013,CA,15.4,84.6,67.54,35.61,12.74,0,10/13/2020,10/19/2020,1
20201006,CA,15.4,84.6,67.54,35.61,12.74,0,10/6/2020,10/12/2020,1
20200929,CA,15.35,84.65,67.65,35.62,12.74,0,9/29/2020,10/5/2020,1
20200922,CA,15.62,84.38,67.09,35.27,3.39,0,9/22/2020,9/28/2020,1
20200915,CA,15.62,84.38,67.09,35.26,3.17,0,9/15/2020,9/21/2020,1
20200908,CA,20.45,79.55,54.18,32.98,3.04,0,9/8/2020,9/14/2020,1
20200901,CA,20.39,79.61,54.38,31.78,3.04,0,9/1/2020,9/7/2020,1
20200825,CA,20.55,79.45,54.38,31.88,3.04,0,8/25/2020,8/31/2020,1
20200818,CA,20.55,79.45,54.22,21.72,3.04,0,8/18/2020,8/24/2020,1
20200811,CA,33.74,66.26,50.39,21.72,3.04,0,8/11/2020,8/17/2020,1
20200804,CA,33.74,66.26,50.38,21.5,3.04,0,8/4/2020,8/10/2020,1
20200728,CA,40.34,59.66,50.38,21.5,3.04,0,7/28/2020,8/3/2020,1
20200721,CA,40.34,59.66,48.21,21.5,3.04,0,7/21/2020,7/27/2020,1
20200714,CA,40.38,59.62,48.19,21.5,2.45,0,7/14/2020,7/20/2020,1
20200707,CA,41.79,58.21,46.74,20.84,2.45,0,7/7/2020,7/13/2020,1
20200630,CA,41.79,58.21,46.74,20.84,2.45,0,6/30/2020,7/6/2020,1
20200623,CA,41.79,58.21,46.74,20.84,2.45,0,6/23/2020,6/29/2020,1
20200616,CA,41.79,58.21,46.74,20.84,2.45,0,6/16/2020,6/22/2020,1
20200609,CA,41.79,58.21,46.74,20.84,2.45,0,6/9/2020,6/15/2020,1
20200602,CA,41.8,58.2,46.67,20.84,2.97,0,6/2/2020,6/8/2020,1
20200526,CA,41.8,58.2,46.67,20.84,2.97,0,5/26/2020,6/1/2020,1
20200519,CA,41.8,58.2,46.67,20.84,2.97,0,5/19/2020,5/25/2020,1
20200512,CA,41.8,58.2,46.67,20.84,2.99,0,5/12/2020,5/18/2020,1
20200505,CA,41.8,58.2,42.87,19.56,3.94,0,5/5/2020,5/11/2020,1
20200428,CA,41.8,58.2,41.58,19.59,4.66,0,4/28/2020,5/4/2020,1
20200421,CA,41.8,58.2,35.7,19.59,4.66,0,4/21/2020,4/27/2020,1
20200414,CA,41.8,58.2,35.7,12.83,0,0,4/14/2020,4/20/2020,1
20200407,CA,32.29,67.71,43.31,1.3,0,0,4/7/2020,4/13/2020,1
20200331,CA,24.86,75.14,43.31,1.3,0,0,3/31/2020,4/6/2020,1
20200324,CA,24.86,75.14,40.42,1.3,0,0,3/24/2020,3/30/2020,1
20200317,CA,24.64,75.36,47.59,1.26,0,0,3/17/2020,3/23/2020,1
20200310,CA,21.5,78.5,48.09,0,0,0,3/10/2020,3/16/2020,1
20200303,CA,30.26,69.74,34.16,0,0,0,3/3/2020,3/9/2020,1
20200225,CA,30.26,69.74,23.34,0,0,0,2/25/2020,3/2/2020,1
20200218,CA,40.02,59.98,9.54,0,0,0,2/18/2020,2/24/2020,1
20200211,CA,53.85,46.15,9.54,0,0,0,2/11/2020,2/17/2020,1
20200204,CA,65.72,34.28,0,0,0,0,2/4/2020,2/10/2020,1
20200128,CA,65.72,34.28,0,0,0,0,1/28/2020,2/3/2020,1
20200121,CA,96.39,3.61,0,0,0,0,1/21/2020,1/27/2020,1
20200114,CA,96.39,3.61,0,0,0,0,1/14/2020,1/20/2020,1
20200107,CA,96.43,3.57,0,0,0,0,1/7/2020,1/13/2020,1
20191231,CA,96.43,3.57,0,0,0,0,12/31/2019,1/6/2020,1
20191224,CA,96.43,3.57,0,0,0,0,12/24/2019,12/30/2019,1
20191217,CA,96.43,3.57,0,0,0,0,12/17/2019,12/23/2019,1
20191210,CA,96.43,3.57,0,0,0,0,12/10/2019,12/16/2019,1
20191203,CA,14.74,85.26,0.01,0,0,0,12/3/2019,12/9/2019,1
20191126,CA,9.22,90.78,3.31,0.01,0,0,11/26/2019,12/2/2019,1
20191119,CA,18.55,81.45,3.59,0.01,0,0,11/19/2019,11/25/2019,1
20191112,CA,18.61,81.39,3.57,0.01,0,0,11/12/2019,11/18/2019,1
20191105,CA,82.26,17.74,2.06,0,0,0,11/5/2019,11/11/2019,1
20191029,CA,82.26,17.74,2.06,0,0,0,10/29/2019,11/4/2019,1
20191022,CA,82.26,17.74,2.06,0,0,0,10/22/2019,10/28/2019,1
20191015,CA,85.4,14.6,2.06,0,0,0,10/15/2019,10/21/2019,1
20191008,CA,95.29,4.71,2.06,0,0,0,10/8/2019,10/14/2019,1
20191001,CA,95.29,4.71,2.06,0,0,0,10/1/2019,10/7/2019,1
20190924,CA,89.73,10.27,2.06,0,0,0,9/24/2019,9/30/2019,1
20190917,CA,89.61,10.39,2.06,0,0,0,9/17/2019,9/23/2019,1
20190910,CA,90.94,9.06,1.09,0.01,0,0,9/10/2019,9/16/2019,1
20190903,CA,90.94,9.06,1.09,0,0,0,9/3/2019,9/9/2019,1
20190827,CA,90.94,9.06,1.09,0,0,0,8/27/2019,9/2/2019,1
20190820,CA,93.27,6.73,0,0,0,0,8/20/2019,8/26/2019,1
20190813,CA,94.07,5.93,0,0,0,0,8/13/2019,8/19/2019,1
20190806,CA,95.55,4.45,0,0,0,0,8/6/2019,8/12/2019,1
20190730,CA,95.68,4.32,0,0,0,0,7/30/2019,8/5/2019,1
20190723,CA,95.68,4.32,0,0,0,0,7/23/2019,7/29/2019,1
20190716,CA,95.68,4.32,0,0,0,0,7/16/2019,7/22/2019,1
20190709,CA,95.68,4.32,0,0,0,0,7/9/2019,7/15/2019,1
20190702,CA,95.68,4.32,0,0,0,0,7/2/2019,7/8/2019,1
20190625,CA,95.68,4.32,0,0,0,0,6/25/2019,7/1/2019,1
20190618,CA,95.68,4.32,0,0,0,0,6/18/2019,6/24/2019,1
20190611,CA,95.68,4.32,0,0,0,0,6/11/2019,6/17/2019,1
20190604,CA,95.68,4.32,0,0,0,0,6/4/2019,6/10/2019,1
20190528,CA,94.03,5.97,0,0,0,0,5/28/2019,6/3/2019,1
20190521,CA,94.03,5.97,0,0,0,0,5/21/2019,5/27/2019,1
20190514,CA,94.03,5.97,0,0,0,0,5/14/2019,5/20/2019,1
20190507,CA,94.03,5.97,0,0,0,0,5/7/2019,5/13/2019,1
20190430,CA,94.03,5.97,0,0,0,0,4/30/2019,5/6/2019,1
20190423,CA,94.03,5.97,0,0,0,0,4/23/2019,4/29/2019,1
20190416,CA,94.03,5.97,0,0,0,0,4/16/2019,4/22/2019,1
20190409,CA,94.03,5.97,0,0,0,0,4/9/2019,4/15/2019,1
20190402,CA,93.42,6.58,0,0,0,0,4/2/2019,4/8/2019,1
20190326,CA,93.42,6.58,0,0,0,0,3/26/2019,4/1/2019,1
20190319,CA,93.42,6.58,0,0,0,0,3/19/2019,3/25/2019,1
20190312,CA,93.42,6.58,0,0,0,0,3/12/2019,3/18/2019,1
20190305,CA,89.84,10.16,0.6,0,0,0,3/5/2019,3/11/2019,1
20190226,CA,87.17,12.83,2.33,0,0,0,2/26/2019,3/4/2019,1
20190219,CA,67.07,32.93,3.77,1.36,0,0,2/19/2019,2/25/2019,1
20190212,CA,36.77,63.23,10.55,1.63,0,0,2/12/2019,2/18/2019,1
20190205,CA,34.37,65.63,10.55,1.89,0,0,2/5/2019,2/11/2019,1
20190129,CA,23.93,76.07,23.66,1.89,0,0,1/29/2019,2/4/2019,1
20190122,CA,7.77,92.23,72.23,3.44,0.71,0,1/22/2019,1/28/2019,1
20190115,CA,7.77,92.23,75.17,5.54,0.71,0,1/15/2019,1/21/2019,1
20190108,CA,7.77,92.23,75.17,14.12,1.55,0,1/8/2019,1/14/2019,1
20190101,CA,7.77,92.23,75.17,14.12,2.1,0,1/1/2019,1/7/2019,1
20181225,CA,7.77,92.23,75.17,16.24,2.1,0,12/25/2018,12/31/2018,1
20181218,CA,7.77,92.23,75.17,16.87,2.1,0,12/18/2018,12/24/2018,1
20181211,CA,7.77,92.23,75.17,16.87,2.1,0,12/11/2018,12/17/2018,1
20181204,CA,7.77,92.23,79.69,18.34,3.78,0,12/4/2018,12/10/2018,1
20181127,CA,0,100,83.66,18.33,3.78,0,11/27/2018,12/3/2018,1
20181120,CA,0,100,77.62,18.36,3.78,0,11/20/2018,11/26/2018,1
20181113,CA,0,100,53.2,18.35,2.39,0,11/13/2018,11/19/2018,1
20181106,CA,0,100,51.92,18.35,2.39,0,11/6/2018,11/12/2018,1
20181030,CA,15.16,84.84,47.94,19.3,2.73,0,10/30/2018,11/5/2018,1
20181023,CA,15.16,84.84,47.94,19.3,2.73,0,10/23/2018,10/29/2018,1
20181016,CA,15.16,84.84,47.94,22.77,2.87,0,10/16/2018,10/22/2018,1
20181009,CA,15.16,84.84,47.94,22.77,4.87,0,10/9/2018,10/15/2018,1
20181002,CA,12.18,87.82,47.97,22.82,4.93,0,10/2/2018,10/8/2018,1
20180925,CA,12.18,87.82,47.97,22.82,4.94,0,9/25/2018,10/1/2018,1
20180918,CA,12.18,87.82,47.97,22.82,4.94,0,9/18/2018,9/24/2018,1
20180911,CA,12.18,87.82,47.97,22.82,4.94,0,9/11/2018,9/17/2018,1
20180904,CA,13.78,86.22,47.58,22.89,2.77,0,9/4/2018,9/10/2018,1
20180828,CA,13.78,86.22,47.58,21.05,2.77,0,8/28/2018,9/3/2018,1
20180821,CA,13.78,86.22,47.19,20.75,2.77,0,8/21/2018,8/27/2018,1
20180814,CA,13.84,86.16,47.19,20.75,2.77,0,8/14/2018,8/20/2018,1
20180807,CA,13.84,86.16,45.05,20.75,2.77,0,8/7/2018,8/13/2018,1
20180731,CA,13.84,86.16,44.8,20.75,2.77,0,7/31/2018,8/6/2018,1
20180724,CA,13.82,86.18,44.73,20.75,2.77,0,7/24/2018,7/30/2018,1
20180717,CA,14.85,85.15,44.14,20.75,2.77,0,7/17/2018,7/23/2018,1
