MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,ME,0,100,60.42,10.81,1.55,0,11/17/2020,11/23/2020,1
20201110,ME,0,100,60.42,10.81,1.55,0,11/10/2020,11/16/2020,1
20201103,ME,0,100,60.42,10.81,1.55,0,11/3/2020,11/9/2020,1
20201027,ME,0,100,86.2,15.05,2.2,0,10/27/2020,11/2/2020,1
20201020,ME,0,100,100,15.05,2.2,0,10/20/2020,10/26/2020,1
20201013,ME,0,100,100,73.62,11.94,0,10/13/2020,10/19/2020,1
20201006,ME,0,100,100,82.59,11.94,0,10/6/2020,10/12/2020,1
20200929,ME,0,100,100,83.86,7.28,0,9/29/2020,10/5/2020,1
20200922,ME,0,100,100,76.76,6.52,0,9/22/2020,9/28/2020,1
20200915,ME,0,100,100,56.18,3.56,0,9/15/2020,9/21/2020,1
20200908,ME,0,100,100,37.48,0,0,9/8/2020,9/14/2020,1
20200901,ME,0,100,79.48,32.7,0,0,9/1/2020,9/7/2020,1
20200825,ME,0,100,79.48,42.23,0,0,8/25/2020,8/31/2020,1
20200818,ME,7.46,92.54,79.42,42.23,0,0,8/18/2020,8/24/2020,1
20200811,ME,7.46,92.54,77.76,15.44,0,0,8/11/2020,8/17/2020,1
20200804,ME,10.78,89.22,77.76,6.33,0,0,8/4/2020,8/10/2020,1
20200728,ME,10.78,89.22,77.76,6.33,0,0,7/28/2020,8/3/2020,1
20200721,ME,8.43,91.57,77.76,6.33,0,0,7/21/2020,7/27/2020,1
20200714,ME,8.43,91.57,77.76,6.33,0,0,7/14/2020,7/20/2020,1
20200707,ME,6.6,93.4,80.44,8.4,0,0,7/7/2020,7/13/2020,1
20200630,ME,0,100,39.07,0,0,0,6/30/2020,7/6/2020,1
20200623,ME,0,100,47.36,0,0,0,6/23/2020,6/29/2020,1
20200616,ME,22.32,77.68,0,0,0,0,6/16/2020,6/22/2020,1
20200609,ME,45.38,54.62,0,0,0,0,6/9/2020,6/15/2020,1
20200602,ME,92.26,7.74,0,0,0,0,6/2/2020,6/8/2020,1
20200526,ME,93.8,6.2,0,0,0,0,5/26/2020,6/1/2020,1
20200519,ME,100,0,0,0,0,0,5/19/2020,5/25/2020,1
20200512,ME,100,0,0,0,0,0,5/12/2020,5/18/2020,1
20200505,ME,100,0,0,0,0,0,5/5/2020,5/11/2020,1
20200428,ME,100,0,0,0,0,0,4/28/2020,5/4/2020,1
