MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,OR,8.67,91.33,84.36,69.68,33.39,0,11/17/2020,11/23/2020,1
20201110,OR,7.4,92.6,85.3,71.13,39.99,0,11/10/2020,11/16/2020,1
20201103,OR,6.81,93.19,86.44,72.12,41.05,0,11/3/2020,11/9/2020,1
20201027,OR,6.89,93.11,86.44,70.73,39.05,0,10/27/2020,11/2/2020,1
20201020,OR,6.89,93.11,86.44,70.73,39.05,0,10/20/2020,10/26/2020,1
20201013,OR,6.51,93.49,86.44,69.99,37.31,0,10/13/2020,10/19/2020,1
20201006,OR,6.51,93.49,86.44,68.84,35.63,0,10/6/2020,10/12/2020,1
20200929,OR,6.5,93.5,84.77,65.53,33.59,0,9/29/2020,10/5/2020,1
20200922,OR,4.98,95.02,83.86,67.32,34.7,0,9/22/2020,9/28/2020,1
20200915,OR,6.33,93.67,83.7,64.18,31.84,0,9/15/2020,9/21/2020,1
20200908,OR,6.38,93.62,81.8,59.05,24.9,0,9/8/2020,9/14/2020,1
20200901,OR,6.36,93.64,80.22,56.99,17.61,0,9/1/2020,9/7/2020,1
20200825,OR,8.77,91.23,78,54.42,17.61,0,8/25/2020,8/31/2020,1
20200818,OR,9.2,90.8,76,52.69,16.42,0,8/18/2020,8/24/2020,1
20200811,OR,9.21,90.79,76,52.69,16.42,0,8/11/2020,8/17/2020,1
20200804,OR,9.21,90.79,75.88,50.31,12.49,0,8/4/2020,8/10/2020,1
20200728,OR,9.21,90.79,75.88,50.31,12.49,0,7/28/2020,8/3/2020,1
20200721,OR,9.21,90.79,75.87,50.31,12.49,0,7/21/2020,7/27/2020,1
20200714,OR,9.21,90.79,75.72,50.07,8.33,0,7/14/2020,7/20/2020,1
20200707,OR,9.21,90.79,74.48,46.67,6.18,0,7/7/2020,7/13/2020,1
20200630,OR,7.49,92.51,76.67,45.51,5.33,0,6/30/2020,7/6/2020,1
20200623,OR,5.49,94.51,78.38,45.4,4.78,0,6/23/2020,6/29/2020,1
20200616,OR,5.49,94.51,78.38,44.3,4.79,0,6/16/2020,6/22/2020,1
20200609,OR,4.88,95.12,81.33,38.77,4.79,0,6/9/2020,6/15/2020,1
20200602,OR,4.84,95.16,81.69,37.35,4.88,0,6/2/2020,6/8/2020,1
20200526,OR,4.33,95.67,82.31,38.08,7,0,5/26/2020,6/1/2020,1
20200519,OR,2.63,97.37,83.61,37.2,8.17,0,5/19/2020,5/25/2020,1
20200512,OR,2.63,97.37,82.11,37.67,8.69,0,5/12/2020,5/18/2020,1
20200505,OR,3.84,96.16,76.13,35.97,5.93,0,5/5/2020,5/11/2020,1
20200428,OR,3.84,96.16,63.65,33.43,2.36,0,4/28/2020,5/4/2020,1
20200421,OR,5.37,94.63,63.13,31.84,2.36,0,4/21/2020,4/27/2020,1
20200414,OR,10.53,89.47,60.46,26.2,0,0,4/14/2020,4/20/2020,1
20200407,OR,13.99,86.01,55.61,13.05,0,0,4/7/2020,4/13/2020,1
20200331,OR,15.43,84.57,56.84,13.23,0,0,3/31/2020,4/6/2020,1
20200324,OR,15.43,84.57,56.84,8.38,0,0,3/24/2020,3/30/2020,1
20200317,OR,15.69,84.31,55.37,7.63,0,0,3/17/2020,3/23/2020,1
20200310,OR,17.78,82.22,56.73,0,0,0,3/10/2020,3/16/2020,1
20200303,OR,19.88,80.12,42.91,0,0,0,3/3/2020,3/9/2020,1
20200225,OR,20.28,79.72,31.83,0,0,0,2/25/2020,3/2/2020,1
20200218,OR,20.86,79.14,24.28,0,0,0,2/18/2020,2/24/2020,1
20200211,OR,18.93,81.07,25.33,0,0,0,2/11/2020,2/17/2020,1
20200204,OR,10.92,89.08,23.29,0,0,0,2/4/2020,2/10/2020,1
20200128,OR,9.12,90.88,26.18,0,0,0,1/28/2020,2/3/2020,1
20200121,OR,2.81,97.19,32.87,0,0,0,1/21/2020,1/27/2020,1
20200114,OR,2.81,97.19,19.09,0,0,0,1/14/2020,1/20/2020,1
20200107,OR,2.4,97.6,24.57,0,0,0,1/7/2020,1/13/2020,1
20191231,OR,2.4,97.6,24.46,0,0,0,12/31/2019,1/6/2020,1
20191224,OR,2.4,97.6,24.46,0,0,0,12/24/2019,12/30/2019,1
20191217,OR,1.61,98.39,24.46,0,0,0,12/17/2019,12/23/2019,1
20191210,OR,1.22,98.78,0,0,0,0,12/10/2019,12/16/2019,1
20191203,OR,35.05,64.95,0,0,0,0,12/3/2019,12/9/2019,1
20191126,OR,44.34,55.66,0,0,0,0,11/26/2019,12/2/2019,1
20191119,OR,100,0,0,0,0,0,11/19/2019,11/25/2019,1
20191112,OR,100,0,0,0,0,0,11/12/2019,11/18/2019,1
20191105,OR,100,0,0,0,0,0,11/5/2019,11/11/2019,1
20191029,OR,100,0,0,0,0,0,10/29/2019,11/4/2019,1
20191022,OR,100,0,0,0,0,0,10/22/2019,10/28/2019,1
20191015,OR,88.54,11.46,0,0,0,0,10/15/2019,10/21/2019,1
20191008,OR,88.54,11.46,0,0,0,0,10/8/2019,10/14/2019,1
20191001,OR,88.54,11.46,0,0,0,0,10/1/2019,10/7/2019,1
20190924,OR,88.23,11.77,0.98,0,0,0,9/24/2019,9/30/2019,1
20190917,OR,84.85,15.15,4.19,0,0,0,9/17/2019,9/23/2019,1
20190910,OR,70.9,29.1,6.53,0,0,0,9/10/2019,9/16/2019,1
20190903,OR,68.05,31.95,10.83,0,0,0,9/3/2019,9/9/2019,1
20190827,OR,67.61,32.39,10.83,0,0,0,8/27/2019,9/2/2019,1
20190820,OR,67.61,32.39,10.83,0,0,0,8/20/2019,8/26/2019,1
20190813,OR,67.61,32.39,10.83,0,0,0,8/13/2019,8/19/2019,1
20190806,OR,65.17,34.83,10.83,0,0,0,8/6/2019,8/12/2019,1
20190730,OR,66.08,33.92,10.83,0,0,0,7/30/2019,8/5/2019,1
20190723,OR,66.08,33.92,10.83,0,0,0,7/23/2019,7/29/2019,1
20190716,OR,66.08,33.92,10.83,0,0,0,7/16/2019,7/22/2019,1
20190709,OR,66.08,33.92,10.83,0,0,0,7/9/2019,7/15/2019,1
20190702,OR,71.07,28.93,9.21,0,0,0,7/2/2019,7/8/2019,1
20190625,OR,75.59,24.41,8.91,0,0,0,6/25/2019,7/1/2019,1
20190618,OR,75.59,24.41,8.91,0,0,0,6/18/2019,6/24/2019,1
20190611,OR,83.05,16.95,1.8,0,0,0,6/11/2019,6/17/2019,1
20190604,OR,83.05,16.95,1.8,0,0,0,6/4/2019,6/10/2019,1
20190528,OR,88.25,11.75,1.8,0,0,0,5/28/2019,6/3/2019,1
20190521,OR,84.58,15.42,1.8,0,0,0,5/21/2019,5/27/2019,1
20190514,OR,82.7,17.3,0,0,0,0,5/14/2019,5/20/2019,1
20190507,OR,82.7,17.3,0,0,0,0,5/7/2019,5/13/2019,1
20190430,OR,82.7,17.3,0,0,0,0,4/30/2019,5/6/2019,1
20190423,OR,82.7,17.3,0,0,0,0,4/23/2019,4/29/2019,1
20190416,OR,76.65,23.35,0,0,0,0,4/16/2019,4/22/2019,1
20190409,OR,43.21,56.79,0,0,0,0,4/9/2019,4/15/2019,1
20190402,OR,17.71,82.29,39.91,0,0,0,4/2/2019,4/8/2019,1
20190326,OR,17.71,82.29,39.91,0,0,0,3/26/2019,4/1/2019,1
20190319,OR,17.71,82.29,39.91,0,0,0,3/19/2019,3/25/2019,1
20190312,OR,20.67,79.33,40.23,1.58,0,0,3/12/2019,3/18/2019,1
20190305,OR,15.93,84.07,63.89,25.91,0,0,3/5/2019,3/11/2019,1
