MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,PA,36.53,63.47,25.72,4.19,0,0,11/17/2020,11/23/2020,1
20201110,PA,31.31,68.69,40.01,7.51,0,0,11/10/2020,11/16/2020,1
20201103,PA,32.52,67.48,38.4,7.51,0,0,11/3/2020,11/9/2020,1
20201027,PA,15.8,84.2,50.75,12.54,0,0,10/27/2020,11/2/2020,1
20201020,PA,17.9,82.1,50.38,10.82,0,0,10/20/2020,10/26/2020,1
20201013,PA,24.64,75.36,46.4,10.82,0,0,10/13/2020,10/19/2020,1
20201006,PA,24.64,75.36,46.4,8.48,0,0,10/6/2020,10/12/2020,1
20200929,PA,24.69,75.31,31.35,8.48,0,0,9/29/2020,10/5/2020,1
20200922,PA,52.77,47.23,20.59,6.17,0,0,9/22/2020,9/28/2020,1
20200915,PA,55.03,44.97,17.1,0,0,0,9/15/2020,9/21/2020,1
20200908,PA,54.12,45.88,10.31,0,0,0,9/8/2020,9/14/2020,1
20200901,PA,46.67,53.33,8.5,0,0,0,9/1/2020,9/7/2020,1
20200825,PA,39.34,60.66,31.56,0,0,0,8/25/2020,8/31/2020,1
20200818,PA,43.58,56.42,27.7,0,0,0,8/18/2020,8/24/2020,1
20200811,PA,43.51,56.49,13.01,0,0,0,8/11/2020,8/17/2020,1
20200804,PA,32.23,67.77,14.25,0,0,0,8/4/2020,8/10/2020,1
20200728,PA,32.13,67.87,14.86,0,0,0,7/28/2020,8/3/2020,1
20200721,PA,32.45,67.55,8.68,0,0,0,7/21/2020,7/27/2020,1
20200714,PA,32.56,67.44,3.6,0,0,0,7/14/2020,7/20/2020,1
20200707,PA,14.75,85.25,3.6,0,0,0,7/7/2020,7/13/2020,1
20200630,PA,92.02,7.98,0,0,0,0,6/30/2020,7/6/2020,1
20200623,PA,92.02,7.98,0,0,0,0,6/23/2020,6/29/2020,1
20200616,PA,91.9,8.1,0,0,0,0,6/16/2020,6/22/2020,1
20200609,PA,92.31,7.69,0,0,0,0,6/9/2020,6/15/2020,1
20200602,PA,100,0,0,0,0,0,6/2/2020,6/8/2020,1
20200526,PA,100,0,0,0,0,0,5/26/2020,6/1/2020,1
20200519,PA,100,0,0,0,0,0,5/19/2020,5/25/2020,1
20200512,PA,100,0,0,0,0,0,5/12/2020,5/18/2020,1
20200505,PA,100,0,0,0,0,0,5/5/2020,5/11/2020,1
20200428,PA,100,0,0,0,0,0,4/28/2020,5/4/2020,1
20200421,PA,100,0,0,0,0,0,4/21/2020,4/27/2020,1
20200414,PA,100,0,0,0,0,0,4/14/2020,4/20/2020,1
20200407,PA,100,0,0,0,0,0,4/7/2020,4/13/2020,1
20200331,PA,100,0,0,0,0,0,3/31/2020,4/6/2020,1
20200324,PA,100,0,0,0,0,0,3/24/2020,3/30/2020,1
20200317,PA,99.9,0.1,0,0,0,0,3/17/2020,3/23/2020,1
20200310,PA,100,0,0,0,0,0,3/10/2020,3/16/2020,1
20200303,PA,100,0,0,0,0,0,3/3/2020,3/9/2020,1
20200225,PA,100,0,0,0,0,0,2/25/2020,3/2/2020,1
20200218,PA,100,0,0,0,0,0,2/18/2020,2/24/2020,1
20200211,PA,100,0,0,0,0,0,2/11/2020,2/17/2020,1
20200204,PA,100,0,0,0,0,0,2/4/2020,2/10/2020,1
20200128,PA,100,0,0,0,0,0,1/28/2020,2/3/2020,1
20200121,PA,100,0,0,0,0,0,1/21/2020,1/27/2020,1
20200114,PA,100,0,0,0,0,0,1/14/2020,1/20/2020,1
20200107,PA,100,0,0,0,0,0,1/7/2020,1/13/2020,1
20191231,PA,100,0,0,0,0,0,12/31/2019,1/6/2020,1
20191224,PA,100,0,0,0,0,0,12/24/2019,12/30/2019,1
20191217,PA,100,0,0,0,0,0,12/17/2019,12/23/2019,1
20191210,PA,100,0,0,0,0,0,12/10/2019,12/16/2019,1
20191203,PA,99.6,0.4,0,0,0,0,12/3/2019,12/9/2019,1
20191126,PA,99.6,0.4,0,0,0,0,11/26/2019,12/2/2019,1
20191119,PA,98.7,1.3,0,0,0,0,11/19/2019,11/25/2019,1
20191112,PA,98.7,1.3,0,0,0,0,11/12/2019,11/18/2019,1
20191105,PA,96.71,3.29,0,0,0,0,11/5/2019,11/11/2019,1
20191029,PA,67.38,32.62,0,0,0,0,10/29/2019,11/4/2019,1
20191022,PA,49.25,50.75,2.77,0,0,0,10/22/2019,10/28/2019,1
20191015,PA,44.68,55.32,4.12,0,0,0,10/15/2019,10/21/2019,1
20191008,PA,46.45,53.55,3.44,0,0,0,10/8/2019,10/14/2019,1
20191001,PA,46.41,53.59,1.58,0,0,0,10/1/2019,10/7/2019,1
20190924,PA,46.78,53.22,1.25,0,0,0,9/24/2019,9/30/2019,1
20190917,PA,88.88,11.12,0,0,0,0,9/17/2019,9/23/2019,1
20190910,PA,100,0,0,0,0,0,9/10/2019,9/16/2019,1
20190903,PA,100,0,0,0,0,0,9/3/2019,9/9/2019,1
20190827,PA,100,0,0,0,0,0,8/27/2019,9/2/2019,1
20190820,PA,100,0,0,0,0,0,8/20/2019,8/26/2019,1
20190813,PA,100,0,0,0,0,0,8/13/2019,8/19/2019,1
20190806,PA,100,0,0,0,0,0,8/6/2019,8/12/2019,1
20190730,PA,100,0,0,0,0,0,7/30/2019,8/5/2019,1
20190723,PA,100,0,0,0,0,0,7/23/2019,7/29/2019,1
20190716,PA,100,0,0,0,0,0,7/16/2019,7/22/2019,1
20190709,PA,100,0,0,0,0,0,7/9/2019,7/15/2019,1
20190702,PA,100,0,0,0,0,0,7/2/2019,7/8/2019,1
