MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201117,TX,2.81,97.19,75.44,39.79,20.5,9.1,11/17/2020,11/23/2020,1
20201110,TX,15.71,84.29,56.86,30.67,19.33,8.61,11/10/2020,11/16/2020,1
20201103,TX,32.17,67.83,45.52,25,13.54,3.93,11/3/2020,11/9/2020,1
20201027,TX,37.98,62.02,42.98,28.28,14.42,4.72,10/27/2020,11/2/2020,1
20201020,TX,46.81,53.19,39.6,25.69,14.42,4.72,10/20/2020,10/26/2020,1
20201013,TX,52.46,47.54,36.22,23.76,13.67,3.29,10/13/2020,10/19/2020,1
20201006,TX,55.1,44.9,33.42,22.49,13.18,3.29,10/6/2020,10/12/2020,1
20200929,TX,57.35,42.65,31.96,20.91,12.02,3.29,9/29/2020,10/5/2020,1
20200922,TX,54.63,45.37,31.88,18.89,9.88,0.78,9/22/2020,9/28/2020,1
20200915,TX,48.79,51.21,34.16,21.74,9.88,0.78,9/15/2020,9/21/2020,1
20200908,TX,40.53,59.47,40.39,26.01,13.91,0.74,9/8/2020,9/14/2020,1
20200901,TX,26.75,73.25,55.13,32.72,13.09,0.98,9/1/2020,9/7/2020,1
20200825,TX,29.44,70.56,57.27,33.49,12.24,0.74,8/25/2020,8/31/2020,1
20200818,TX,36.2,63.8,47.63,23.91,7.81,0.33,8/18/2020,8/24/2020,1
20200811,TX,34.17,65.83,39.93,17.68,4.88,0,8/11/2020,8/17/2020,1
20200804,TX,41.71,58.29,32.56,15.42,2.97,0,8/4/2020,8/10/2020,1
20200728,TX,39.66,60.34,34.39,14.99,2.99,0,7/28/2020,8/3/2020,1
20200721,TX,33.96,66.04,36.44,13.88,2.84,0,7/21/2020,7/27/2020,1
20200714,TX,42.96,57.04,32.17,11.67,3.03,0,7/14/2020,7/20/2020,1
20200707,TX,46.85,53.15,24.84,8.5,2.23,0,7/7/2020,7/13/2020,1
20200630,TX,42.41,57.59,27.97,9.6,2.87,0,6/30/2020,7/6/2020,1
20200623,TX,47.22,52.78,24.82,9.17,1.38,0,6/23/2020,6/29/2020,1
20200616,TX,45.87,54.13,27.23,11.08,1.39,0,6/16/2020,6/22/2020,1
20200609,TX,58.07,41.93,22.82,5.61,0.58,0,6/9/2020,6/15/2020,1
20200602,TX,66.44,33.56,14.17,1.32,0,0,6/2/2020,6/8/2020,1
20200526,TX,66.97,33.03,7.85,1.19,0,0,5/26/2020,6/1/2020,1
20200519,TX,62.26,37.74,10.73,2.87,0.34,0,5/19/2020,5/25/2020,1
20200512,TX,54.68,45.32,14.65,5.44,1.99,0,5/12/2020,5/18/2020,1
20200505,TX,68.53,31.47,13.31,6.14,1.71,0,5/5/2020,5/11/2020,1
20200428,TX,71.46,28.54,15.63,6.9,1.59,0,4/28/2020,5/4/2020,1
20200421,TX,72.28,27.72,16.05,7.16,1.92,0,4/21/2020,4/27/2020,1
20200414,TX,75.16,24.84,15.93,7.75,1.8,0.14,4/14/2020,4/20/2020,1
20200407,TX,74.84,25.16,19.22,10.49,2.5,0.14,4/7/2020,4/13/2020,1
20200331,TX,73.4,26.6,20.26,14.6,5.47,0.35,3/31/2020,4/6/2020,1
20200324,TX,73.64,26.36,19.78,14.89,4.44,0.35,3/24/2020,3/30/2020,1
20200317,TX,69.38,30.62,22.05,15.97,6.96,0.29,3/17/2020,3/23/2020,1
20200310,TX,66.09,33.91,20.84,14.94,5.87,0,3/10/2020,3/16/2020,1
20200303,TX,65.58,34.42,21.16,13.93,5.87,0,3/3/2020,3/9/2020,1
20200225,TX,67.75,32.25,19.79,10.95,2.66,0,2/25/2020,3/2/2020,1
20200218,TX,59.37,40.63,23.84,12.73,2.66,0,2/18/2020,2/24/2020,1
20200211,TX,52.03,47.97,32.68,13.95,1.87,0,2/11/2020,2/17/2020,1
20200204,TX,46.59,53.41,33.07,12.66,0.81,0,2/4/2020,2/10/2020,1
20200128,TX,44,56,34.09,11.92,0.57,0,1/28/2020,2/3/2020,1
20200121,TX,42.69,57.31,34.52,14.12,0.79,0,1/21/2020,1/27/2020,1
20200114,TX,44.7,55.3,36.79,10.76,1.29,0,1/14/2020,1/20/2020,1
20200107,TX,42.97,57.03,37.79,11.87,1.34,0,1/7/2020,1/13/2020,1
20191231,TX,44.69,55.31,36.12,9.19,0.74,0,12/31/2019,1/6/2020,1
20191224,TX,44.13,55.87,38.62,9.46,0.67,0,12/24/2019,12/30/2019,1
20191217,TX,45.21,54.79,37.29,8.27,0.67,0,12/17/2019,12/23/2019,1
20191210,TX,45.58,54.42,34.88,8.06,0.67,0,12/10/2019,12/16/2019,1
20191203,TX,44.14,55.86,33.54,8.42,0.67,0,12/3/2019,12/9/2019,1
20191126,TX,45.51,54.49,32.37,9.98,0.53,0,11/26/2019,12/2/2019,1
20191119,TX,47.81,52.19,31.96,10.46,0.53,0,11/19/2019,11/25/2019,1
20191112,TX,46.76,53.24,31.97,11.04,0.56,0,11/12/2019,11/18/2019,1
20191105,TX,42.29,57.71,40.96,19.22,6,0,11/5/2019,11/11/2019,1
20191029,TX,38.98,61.02,46.55,22.4,4.65,0,10/29/2019,11/4/2019,1
20191022,TX,39.3,60.7,48.74,25.85,6.68,0,10/22/2019,10/28/2019,1
20191015,TX,38.24,61.76,50.39,26.33,9.37,0,10/15/2019,10/21/2019,1
20191008,TX,39.05,60.95,48.52,29.91,8.6,0,10/8/2019,10/14/2019,1
20191001,TX,31.74,68.26,46.05,22.33,6.32,0,10/1/2019,10/7/2019,1
20190924,TX,34.78,65.22,48.33,19.69,3.5,0,9/24/2019,9/30/2019,1
20190917,TX,27.74,72.26,51.75,21.2,3.07,0,9/17/2019,9/23/2019,1
20190910,TX,28.16,71.84,53.42,17.43,2.76,0,9/10/2019,9/16/2019,1
20190903,TX,33.59,66.41,42.9,10.26,1.73,0,9/3/2019,9/9/2019,1
20190827,TX,25.9,74.1,37.58,8.75,1.21,0,8/27/2019,9/2/2019,1
20190820,TX,27.48,72.52,32,6.75,0.56,0,8/20/2019,8/26/2019,1
20190813,TX,35.2,64.8,22.18,4.08,0.21,0,8/13/2019,8/19/2019,1
20190806,TX,53.05,46.95,9.79,1.21,0,0,8/6/2019,8/12/2019,1
20190730,TX,76.49,23.51,4.31,0.42,0,0,7/30/2019,8/5/2019,1
20190723,TX,89.88,10.12,1.99,0.66,0,0,7/23/2019,7/29/2019,1
20190716,TX,93.14,6.86,1.67,0.58,0,0,7/16/2019,7/22/2019,1
20190709,TX,95.13,4.87,1.3,0.2,0,0,7/9/2019,7/15/2019,1
20190702,TX,94.84,5.16,1.34,0.05,0,0,7/2/2019,7/8/2019,1
20190625,TX,95.84,4.16,1.93,0.23,0,0,6/25/2019,7/1/2019,1
20190618,TX,94.17,5.83,1.59,0,0,0,6/18/2019,6/24/2019,1
20190611,TX,94.9,5.1,0.52,0,0,0,6/11/2019,6/17/2019,1
20190604,TX,93.83,6.17,0.18,0,0,0,6/4/2019,6/10/2019,1
20190528,TX,94.24,5.76,0.2,0,0,0,5/28/2019,6/3/2019,1
20190521,TX,97.9,2.1,0,0,0,0,5/21/2019,5/27/2019,1
20190514,TX,99.57,0.43,0,0,0,0,5/14/2019,5/20/2019,1
20190507,TX,96.95,3.05,0,0,0,0,5/7/2019,5/13/2019,1
20190430,TX,87.27,12.73,1.46,0,0,0,4/30/2019,5/6/2019,1
20190423,TX,79.75,20.25,1.29,0,0,0,4/23/2019,4/29/2019,1
20190416,TX,74.85,25.15,5.22,0,0,0,4/16/2019,4/22/2019,1
20190409,TX,61.2,38.8,7.83,0,0,0,4/9/2019,4/15/2019,1
20190402,TX,54.27,45.73,12.2,2.61,0,0,4/2/2019,4/8/2019,1
20190326,TX,61.92,38.08,11.44,2.38,0,0,3/26/2019,4/1/2019,1
20190319,TX,69.05,30.95,9.67,0.9,0,0,3/19/2019,3/25/2019,1
20190312,TX,52.86,47.14,14.69,0,0,0,3/12/2019,3/18/2019,1
20190305,TX,45.94,54.06,19.92,0,0,0,3/5/2019,3/11/2019,1
20190226,TX,48.21,51.79,16.33,0,0,0,2/26/2019,3/4/2019,1
20190219,TX,59.54,40.46,6.63,0,0,0,2/19/2019,2/25/2019,1
20190212,TX,64.76,35.24,3.06,0,0,0,2/12/2019,2/18/2019,1
20190205,TX,81.97,18.03,1.81,0,0,0,2/5/2019,2/11/2019,1
20190129,TX,90.22,9.78,1.15,0,0,0,1/29/2019,2/4/2019,1
20190122,TX,90.39,9.61,2.45,0,0,0,1/22/2019,1/28/2019,1
20190115,TX,91.82,8.18,1.6,0,0,0,1/15/2019,1/21/2019,1
20190108,TX,92.71,7.29,1.51,0,0,0,1/8/2019,1/14/2019,1
20190101,TX,92.99,7.01,1.32,0,0,0,1/1/2019,1/7/2019,1
20181225,TX,90.02,9.98,0.8,0,0,0,12/25/2018,12/31/2018,1
20181218,TX,94.51,5.49,0.8,0,0,0,12/18/2018,12/24/2018,1
20181211,TX,96.3,3.7,0.8,0,0,0,12/11/2018,12/17/2018,1
20181204,TX,96.13,3.87,0.8,0,0,0,12/4/2018,12/10/2018,1
20181127,TX,97.73,2.27,0.8,0,0,0,11/27/2018,12/3/2018,1
20181120,TX,97.73,2.27,0.8,0,0,0,11/20/2018,11/26/2018,1
20181113,TX,97.73,2.27,0.99,0,0,0,11/13/2018,11/19/2018,1
20181106,TX,97.17,2.83,1.15,0,0,0,11/6/2018,11/12/2018,1
20181030,TX,96.15,3.85,1.84,0.43,0,0,10/30/2018,11/5/2018,1
20181023,TX,93.19,6.81,3.62,1.72,0.42,0,10/23/2018,10/29/2018,1
20181016,TX,90.35,9.65,3.92,1.73,0.54,0,10/16/2018,10/22/2018,1
20181009,TX,69.42,30.58,11.67,3.04,0.59,0,10/9/2018,10/15/2018,1
20181002,TX,61.59,38.41,18.01,7.04,1.04,0,10/2/2018,10/8/2018,1
20180925,TX,57.46,42.54,20.19,7.03,0.96,0,9/25/2018,10/1/2018,1
20180918,TX,39.87,60.13,28.85,9.26,2.43,0.1,9/18/2018,9/24/2018,1
20180911,TX,32.07,67.93,31.13,9.81,2.43,0.1,9/11/2018,9/17/2018,1
20180904,TX,19.92,80.08,64.28,27.09,5.51,0.12,9/4/2018,9/10/2018,1
20180828,TX,18.56,81.44,62.34,30.69,6.78,0.3,8/28/2018,9/3/2018,1
20180821,TX,18.99,81.01,59.88,28,5.22,0.3,8/21/2018,8/27/2018,1
20180814,TX,22.28,77.72,59.18,32.14,6.22,0.35,8/14/2018,8/20/2018,1
20180807,TX,21.55,78.45,63.94,45.45,19.43,0.36,8/7/2018,8/13/2018,1
20180731,TX,21.82,78.18,59.26,35.93,8.48,0,7/31/2018,8/6/2018,1
20180724,TX,24.54,75.46,50.13,28.15,4.32,0,7/24/2018,7/30/2018,1
20180717,TX,27.67,72.33,45.81,18.78,3.38,0,7/17/2018,7/23/2018,1
20180710,TX,24.87,75.13,49.41,19.07,4.95,0,7/10/2018,7/16/2018,1
20180703,TX,17.38,82.62,55.3,24.06,6.84,0.46,7/3/2018,7/9/2018,1
20180626,TX,27.33,72.67,47.8,17.91,5.07,0,6/26/2018,7/2/2018,1
20180619,TX,25.97,74.03,47.12,18.88,3.78,0.64,6/19/2018,6/25/2018,1
20180612,TX,24.52,75.48,49.81,25.03,9.74,2.43,6/12/2018,6/18/2018,1
20180605,TX,21.2,78.8,44.37,23.44,7.29,1.59,6/5/2018,6/11/2018,1
20180529,TX,31.26,68.74,40.06,21.93,7.82,1.17,5/29/2018,6/4/2018,1
20180522,TX,37.32,62.68,40.53,22.46,9.2,2.54,5/22/2018,5/28/2018,1
20180515,TX,36.32,63.68,43.39,25.33,12.98,4.02,5/15/2018,5/21/2018,1
20180508,TX,39.78,60.22,38.8,22.3,12.97,4.61,5/8/2018,5/14/2018,1
20180501,TX,33.6,66.4,49.36,25.5,13.94,4.31,5/1/2018,5/7/2018,1
20180424,TX,33.36,66.64,53.23,26.26,14.54,3.88,4/24/2018,4/30/2018,1
20180417,TX,35.09,64.91,49.47,23.58,13.7,4.37,4/17/2018,4/23/2018,1
20180410,TX,34.9,65.1,49.01,22.2,13.21,4.27,4/10/2018,4/16/2018,1
20180403,TX,33.29,66.71,49.43,21.57,13.21,1.47,4/3/2018,4/9/2018,1
20180327,TX,26.19,73.81,64.23,28.3,15.08,1.21,3/27/2018,4/2/2018,1
20180320,TX,25.5,74.5,61.14,25.84,15.08,0,3/20/2018,3/26/2018,1
20180313,TX,24.83,75.17,54.19,22.29,14.19,0,3/13/2018,3/19/2018,1
20180306,TX,25.76,74.24,54.22,21.74,14.16,0,3/6/2018,3/12/2018,1
20180227,TX,22.75,77.25,55.19,22.04,11.47,0,2/27/2018,3/5/2018,1
20180220,TX,11.9,88.1,70.76,37.56,11.13,0,2/20/2018,2/26/2018,1
20180213,TX,10.26,89.74,71.22,37.56,13.07,0,2/13/2018,2/19/2018,1
20180206,TX,9.76,90.24,64.88,29.56,11.79,0,2/6/2018,2/12/2018,1
20180130,TX,13.27,86.73,56.47,21.98,7.3,0,1/30/2018,2/5/2018,1
20180123,TX,14.5,85.5,49.49,17.14,4.25,0,1/23/2018,1/29/2018,1
20180116,TX,20.81,79.19,41.81,16.21,2.01,0,1/16/2018,1/22/2018,1
20180109,TX,27.08,72.92,36.93,10.75,0.39,0,1/9/2018,1/15/2018,1
20180102,TX,33.37,66.63,33.56,5.94,0.11,0,1/2/2018,1/8/2018,1
20171226,TX,37.16,62.84,32.93,2.9,0.11,0,12/26/2017,1/1/2018,1
20171219,TX,36.13,63.87,37.03,8.84,0.25,0,12/19/2017,12/25/2017,1
20171212,TX,28.56,71.44,26.17,11.74,0.76,0,12/12/2017,12/18/2017,1
20171205,TX,27.6,72.4,37.06,10.82,0,0,12/5/2017,12/11/2017,1
20171128,TX,28.73,71.27,35.11,5.5,0,0,11/28/2017,12/4/2017,1
20171121,TX,40.02,59.98,20.23,3.25,0,0,11/21/2017,11/27/2017,1
20171114,TX,54.34,45.66,15.26,0.97,0,0,11/14/2017,11/20/2017,1
20171107,TX,58.23,41.77,8.8,0.56,0,0,11/7/2017,11/13/2017,1
20171031,TX,71.18,28.82,2.52,0.11,0,0,10/31/2017,11/6/2017,1
20171024,TX,80.89,19.11,1.74,0,0,0,10/24/2017,10/30/2017,1
20171017,TX,80.83,19.17,4.32,0,0,0,10/17/2017,10/23/2017,1
20171010,TX,87.34,12.66,3.31,0,0,0,10/10/2017,10/16/2017,1
20171003,TX,86.76,13.24,2.2,0,0,0,10/3/2017,10/9/2017,1
20170926,TX,70.54,29.46,4.17,0.04,0,0,9/26/2017,10/2/2017,1
20170919,TX,79.27,20.73,3.27,0.35,0,0,9/19/2017,9/25/2017,1
20170912,TX,92.45,7.55,1.52,0.04,0,0,9/12/2017,9/18/2017,1
20170905,TX,94.84,5.16,0.79,0.04,0,0,9/5/2017,9/11/2017,1
20170829,TX,96.14,3.86,0.87,0,0,0,8/29/2017,9/4/2017,1
20170822,TX,86.44,13.56,2.47,0,0,0,8/22/2017,8/28/2017,1
20170815,TX,89.71,10.29,1.23,0,0,0,8/15/2017,8/21/2017,1
20170808,TX,79.97,20.03,4.29,0,0,0,8/8/2017,8/14/2017,1
20170801,TX,73.48,26.52,9.9,0.73,0,0,8/1/2017,8/7/2017,1
20170725,TX,75.04,24.96,8.99,1.26,0,0,7/25/2017,7/31/2017,1
20170718,TX,74.42,25.58,7.85,0.46,0,0,7/18/2017,7/24/2017,1
20170711,TX,76.12,23.88,6.57,0,0,0,7/11/2017,7/17/2017,1
20170704,TX,73.51,26.49,6.01,0.92,0,0,7/4/2017,7/10/2017,1
20170627,TX,76.48,23.52,5.98,0.61,0,0,6/27/2017,7/3/2017,1
20170620,TX,72.65,27.35,4.84,0,0,0,6/20/2017,6/26/2017,1
20170613,TX,78.23,21.77,2.47,0,0,0,6/13/2017,6/19/2017,1
20170606,TX,83.43,16.57,1.16,0,0,0,6/6/2017,6/12/2017,1
20170530,TX,65.5,34.5,3.7,0,0,0,5/30/2017,6/5/2017,1
20170523,TX,77.7,22.3,2.41,0.19,0,0,5/23/2017,5/29/2017,1
20170516,TX,65.58,34.42,6.15,1.2,0,0,5/16/2017,5/22/2017,1
20170509,TX,78.86,21.14,2.33,0,0,0,5/9/2017,5/15/2017,1
20170502,TX,91.38,8.62,1.44,0,0,0,5/2/2017,5/8/2017,1
20170425,TX,90.58,9.42,1.34,0,0,0,4/25/2017,5/1/2017,1
